id,nume,brand,categorie,pret,tip_ten,subton,nuanta,finish,ocazie,acoperire,ingrediente_cheie,vegan,cruelty_free,rating,descriere,tip_produs,contrast,baza,origine,probleme,fungal_acne_safe,suited_eye_color,suited_hair_color,activ
13,Pudra Mineral,bareMinerals,Pudra,145.0,sensibil|uscat,toate,mediu,natural,zi,toate,minerale|SPF,Da,Da,4.4,Pudra minerala usoara cu protectie solara,makeup,toate,toate,,,,toate,toate,1
14,Pudra Setting Soft Focus,Charlotte Tilbury,Pudra,290.0,toate,toate,deschis,satinat,seara|eveniment,toate,colagen|vitamina E,Nu,Nu,4.7,Pudra fina pentru efect soft-focus fotografic,makeup,toate,toate,,,,toate,toate,1
15,Pudra Banana Setting,Ben Nye,Pudra,80.0,toate,cald,mediu,mat,seara|eveniment,toate,minerale,Da,Da,4.5,Pudra galbena banana pentru fixarea zonelor luminate,makeup,toate,toate,,,,toate,toate,1
16,Corector Anticearcan,Maybelline,Corector,40.0,toate,neutru,deschis,natural,zi|seara,medie,acid hialuronic|cofeina,Nu,Nu,4.6,Corector usor pentru zona ochilor,makeup,toate,toate,,,,toate,toate,1
17,Corector Full Coverage,NARS,Corector,160.0,toate,toate,mediu,mat,seara|eveniment,totala,vitamina C|acid hialuronic,Nu,Nu,4.7,Corector cu acoperire intensa si rezistenta,makeup,toate,toate,,,,toate,toate,1
18,Corector Soft Pinch,Rare Beauty,Corector,110.0,toate,toate,inchis,natural,zi|seara,medie,acid hialuronic|peptide,Da,Da,4.5,Corector cremos cu efect natural,makeup,toate,toate,,,,toate,toate,1
19,Corector Booster,The Ordinary,Corector,35.0,toate,toate,deschis,natural,zi,medie,niacinamida|peptide,Da,Da,4.2,Corector accesibil cu ingrediente skincare,makeup,toate,toate,,,,toate,toate,1
20,Corector Magic Away,Charlotte Tilbury,Corector,180.0,uscat|normal,cald,mediu,luminos,seara|eveniment,totala,peptide|colagen,Nu,Nu,4.5,Corector luxos cu finisaj luminos,makeup,toate,toate,,,,toate,toate,1
21,Ruj Mat Lichid,Maybelline,Ruj,45.0,toate,rece,toate,mat,seara|eveniment,toate,vitamina E,Nu,Nu,4.2,Ruj lichid cu finisaj mat de lunga durata,makeup,toate,toate,,,,toate,black|brunette,1
22,Ruj Hidratant Satinat,Dior,Ruj,190.0,toate,cald,toate,satinat,zi|seara,toate,acid hialuronic|ulei de cocos,Nu,Nu,4.6,Ruj cremos care hidrateaza buzele,makeup,toate,toate,,,,toate,blonde|red|brunette,1
23,Ruj Nude Cremos,NYX,Ruj,35.0,toate,neutru,toate,satinat,zi,toate,vitamina E|shea butter,Da,Da,4.3,Nuanta nude potrivita pentru orice zi,makeup,toate,toate,,,,toate,toate,1
24,Ruj Rosu Clasic,MAC,Ruj,120.0,toate,rece,toate,mat,seara|eveniment,toate,shea butter,Nu,Nu,4.5,Rosu intens clasic pentru ocazii speciale,makeup,toate,toate,,,,toate,black|brunette,1
25,Ruj Powder Kiss,MAC,Ruj,140.0,toate,cald,toate,mat,zi|seara,toate,acid hialuronic|ulei de argan,Nu,Nu,4.4,Ruj mat cu textura pudra confortabila,makeup,toate,toate,,,,toate,blonde|red|brunette,1
26,Ruj Lipstick Soft Matte,NARS,Ruj,170.0,toate,rece|neutru,toate,mat,seara|eveniment,toate,vitamina E,Nu,Nu,4.5,Ruj mat cu pigmentare intensa,makeup,toate,toate,,,,toate,black|brunette,1
27,Ruj Color Riche,L'Oreal,Ruj,50.0,toate,cald,toate,satinat,zi,toate,ulei de jojoba|vitamina E,Nu,Nu,4.0,Ruj satinat accesibil cu nuante variate,makeup,toate,toate,,,,toate,blonde|red|brunette,1
28,Ruj Petal Soft,Rare Beauty,Ruj,130.0,toate,neutru,toate,satinat,zi|seara,toate,acid hialuronic|peptide,Da,Da,4.6,Ruj cremos cu pigmentare medie si confort,makeup,toate,toate,,,,toate,toate,1
29,Ruj 24h Liquid Lipstick,Stila,Ruj,100.0,toate,toate,toate,mat,seara|eveniment,toate,vitamina E,Da,Da,4.4,Ruj lichid rezistent 24 de ore,makeup,toate,toate,,,,toate,toate,1
30,Luciu de Buze Voluminizator,Fenty Beauty,Luciu de buze,110.0,toate,neutru,toate,luminos,zi|seara,toate,acid hialuronic|peptide,Da,Nu,4.7,Luciu cu efect de volum si stralucire,makeup,toate,toate,,,,toate,toate,1
31,Luciu de Buze Plumping,NYX,Luciu de buze,40.0,toate,toate,toate,luminos,zi,toate,acid hialuronic|mentol,Da,Da,4.1,Luciu cu efect plumping accesibil,makeup,toate,toate,,,,toate,toate,1
32,Luciu Cremos Lip Comfort,Clarins,Luciu de buze,130.0,uscat|sensibil,cald,toate,luminos,zi|seara,toate,ulei de cocos|ulei de jojoba,Nu,Nu,4.4,Luciu cremos extrem de hidratant,makeup,toate,toate,,,,toate,blonde|red|brunette,1
33,Luciu Voluminizator Lip Maximizer,Dior,Luciu de buze,200.0,toate,rece,toate,luminos,zi|seara|eveniment,toate,acid hialuronic|peptide,Nu,Nu,4.6,Luciu hidratant cu efect voluminizator de lunga durata,makeup,toate,toate,,,,toate,black|brunette,1
34,Fard de Obraz Pudra,Milani,Fard de obraz,50.0,normal|gras|mixt,cald,toate,mat,zi|seara,toate,vitamina E,Da,Da,4.4,Fard pudra cu pigmentare buna,makeup,toate,toate,,,,toate,blonde|red|brunette,1
35,Fard de Obraz Cremos,NARS,Fard de obraz,150.0,uscat|normal,rece,toate,luminos,zi|seara|eveniment,toate,vitamina E|ulei de argan,Nu,Nu,4.6,Fard cremos cu aspect luminos,makeup,toate,toate,,,,toate,black|brunette,1
36,Fard de Obraz Soft Pinch Liquid,Rare Beauty,Fard de obraz,120.0,toate,toate,toate,luminos,zi|seara,toate,acid hialuronic,Da,Da,4.8,Fard lichid cu pigmentare puternica si finisaj dewy,makeup,toate,toate,,,,toate,toate,1
37,Fard de Obraz Cheek Pop,Clinique,Fard de obraz,110.0,normal|uscat,cald,toate,natural,zi,toate,vitamina E,Nu,Nu,4.3,Fard pudra cu finisaj natural,makeup,toate,toate,,,,toate,blonde|red|brunette,1
38,Fard Stick Cheek Tint,Glossier,Fard de obraz,90.0,toate,neutru,toate,natural,zi,toate,acid hialuronic|aloe vera,Da,Da,4.2,Fard tip stick cu aplicare rapida,makeup,toate,toate,,,,toate,toate,1
39,Paleta Nuante Neutre,Urban Decay,Fard de pleoape,230.0,toate,cald,toate,satinat,zi|seara|eveniment,toate,vitamina E,Da,Da,4.6,Paleta cu nuante calde versatile,makeup,toate,toate,,,,blue|green,toate,1
40,Paleta Nuante Reci,Huda Beauty,Fard de pleoape,250.0,toate,rece,toate,satinat,seara|eveniment,toate,minerale|vitamina E,Da,Nu,4.5,Paleta cu nuante reci intense,makeup,toate,toate,,,,green|brown,toate,1
41,Fard Mono Mat,NYX,Fard de pleoape,30.0,toate,neutru,toate,mat,zi,toate,minerale,Da,Da,4.0,Fard individual mat usor de aplicat,makeup,toate,toate,,,,toate,toate,1
42,Paleta Soft Glam,Anastasia,Fard de pleoape,320.0,toate,cald,toate,satinat,seara|eveniment,toate,minerale|vitamina E,Da,Da,4.7,Paleta cu nuante glam pentru ocazii speciale,makeup,toate,toate,,,,blue|green,toate,1
43,Paleta Mothership,Pat McGrath,Fard de pleoape,580.0,toate,toate,toate,satinat,eveniment,toate,minerale,Da,Nu,4.8,Paleta de lux cu pigmentare exceptionala,makeup,toate,toate,,,,toate,toate,1
44,Fard Cream Eyeshadow Stick,Bobbi Brown,Fard de pleoape,150.0,toate,cald,toate,luminos,zi|seara,toate,vitamina E,Nu,Nu,4.4,Fard cremos in format stick usor de aplicat,makeup,toate,toate,,,,blue|green,toate,1
45,Paleta Naked Heat,Urban Decay,Fard de pleoape,240.0,toate,cald,toate,mat,seara|eveniment,toate,vitamina E,Da,Da,4.6,Paleta cu nuante calde de toamna,makeup,toate,toate,,,,blue|green,toate,1
46,Mascara Volum Extrem,Maybelline,Mascara,50.0,toate,toate,toate,mat,zi|seara|eveniment,toate,ceara|peptide,Nu,Nu,4.5,Mascara pentru volum si definire,makeup,toate,toate,,,,toate,toate,1
47,Mascara Alungire Naturala,Essence,Mascara,25.0,sensibil|toate,toate,toate,natural,zi,toate,ulei de ricin,Da,Da,4.1,Mascara blanda pentru un look natural,makeup,toate,toate,,,,toate,toate,1
48,Mascara Lash Sensational,Maybelline,Mascara,60.0,toate,toate,toate,mat,zi|seara,toate,ceara|ulei de ricin,Nu,Nu,4.4,Mascara cu efect de evantai,makeup,toate,toate,,,,toate,toate,1
49,Mascara Better than Sex,Too Faced,Mascara,130.0,toate,toate,toate,mat,seara|eveniment,toate,ulei de ricin|colagen,Da,Da,4.6,Mascara cu efect dramatic de volum,makeup,toate,toate,,,,toate,toate,1
50,Mascara Sky High,Maybelline,Mascara,65.0,toate,toate,toate,mat,zi|seara|eveniment,toate,ceara|fibre de bambus,Nu,Nu,4.7,Mascara pentru alungire si volum extrem,makeup,toate,toate,,,,toate,toate,1
51,Creion Sprancene Precizie,Anastasia,Creion de sprancene,130.0,toate,toate,toate,natural,zi|seara,toate,ceara,Da,Da,4.7,Creion fin pentru definirea sprancenelor,makeup,toate,toate,,,,toate,toate,1
52,Gel Sprancene Fixare,Benefit,Creion de sprancene,140.0,toate,toate,toate,natural,zi|seara|eveniment,toate,ceara|peptide,Nu,Nu,4.5,Gel care fixeaza si modeleaza sprancenele,makeup,toate,toate,,,,toate,toate,1
53,Pomada Sprancene,Anastasia,Creion de sprancene,150.0,toate,toate,toate,satinat,seara|eveniment,toate,minerale|ceara,Da,Da,4.6,Pomada cremoasa pentru sprancene definite,makeup,toate,toate,,,,toate,toate,1
54,Soap Brows Gel,West Barn Co,Creion de sprancene,90.0,toate,toate,toate,natural,zi|seara,toate,sapun natural|ulei de ricin,Da,Da,4.4,Gel cu efect de sprancene laminate,makeup,toate,toate,,,,toate,toate,1
55,Primer Matifiant,The Ordinary,Primer,60.0,gras|mixt,toate,toate,mat,zi|seara,toate,niacinamida,Da,Da,4.3,Primer care controleaza sebumul,makeup,toate,toate,,,,toate,toate,1
56,Primer Hidratant Iluminator,Smashbox,Primer,170.0,uscat|sensibil,toate,toate,luminos,zi|seara|eveniment,toate,acid hialuronic|vitamina E,Da,Nu,4.5,Primer care hidrateaza si lumineaza tenul,makeup,toate,toate,,,,toate,toate,1
57,Primer Pore Eraser,Maybelline,Primer,50.0,gras|mixt,toate,toate,mat,zi|seara,toate,acid salicilic,Nu,Nu,4.2,Primer pentru minimizarea porilor,makeup,toate,toate,,,,toate,toate,1
58,Primer Hydrating,Hourglass,Primer,250.0,uscat|normal,toate,toate,luminos,zi|seara|eveniment,toate,acid hialuronic|peptide,Da,Da,4.7,Primer hidratant de lux pentru tenul deshidratat,makeup,toate,toate,,,,toate,toate,1
59,Iluminator Pudra,Fenty Beauty,Iluminator,160.0,toate,cald,toate,luminos,seara|eveniment,toate,minerale|vitamina E,Da,Nu,4.6,Iluminator pudra cu pigment intens,makeup,toate,toate,,,,toate,toate,1
60,Iluminator Lichid,e.l.f.,Iluminator,40.0,toate,rece,toate,luminos,zi|seara,toate,acid hialuronic|vitamina E,Da,Da,4.4,Iluminator lichid pentru un glow subtil,makeup,toate,toate,,,,toate,toate,1
61,Iluminator Stick Halo Glow,Charlotte Tilbury,Iluminator,350.0,toate,toate,toate,luminos,seara|eveniment,toate,colagen|vitamina E,Nu,Nu,4.7,Iluminator stick cu efect de glow dramatic,makeup,toate,toate,,,,toate,toate,1
62,Iluminator Hourglass Ambient,Hourglass,Iluminator,230.0,toate,cald,toate,luminos,zi|seara|eveniment,toate,minerale,Da,Da,4.6,Iluminator pudra cu efect natural luminos,makeup,toate,toate,,,,toate,toate,1
63,Bronzer Matt,Milani,Bronzer,55.0,normal|gras|mixt,cald,mediu,mat,zi|seara,toate,minerale|vitamina E,Da,Da,4.3,Bronzer mat ideal pentru contouring,makeup,toate,toate,,,,toate,toate,1
64,Bronzer Hoola,Benefit,Bronzer,180.0,toate,cald,mediu,mat,zi|seara|eveniment,toate,ceara|vitamina E,Nu,Nu,4.6,Bronzer iconic pentru efect natural bronzat,makeup,toate,toate,,,,toate,toate,1
65,Bronzer Cream Wand,Patrick Ta,Bronzer,220.0,uscat|normal,cald,toate,satinat,seara|eveniment,toate,acid hialuronic|vitamina E,Da,Nu,4.5,Bronzer cremos in format stick,makeup,toate,toate,,,,toate,toate,1
66,Spray Fixare All Nighter,Urban Decay,Spray de fixare,160.0,toate,toate,toate,mat,seara|eveniment,toate,aloe vera|vitamina E,Da,Da,4.7,Spray care fixeaza machiajul pana la 16 ore,makeup,toate,toate,,,,toate,toate,1
67,Spray Fixare Dewy,Charlotte Tilbury,Spray de fixare,200.0,uscat|normal,toate,toate,luminos,zi|seara|eveniment,toate,acid hialuronic|glicerina,Nu,Nu,4.5,Spray fixare cu efect dewy luminos,makeup,toate,toate,,,,toate,toate,1
68,Spray Fixare Mineralize,MAC,Spray de fixare,130.0,toate,toate,toate,natural,zi|seara,toate,minerale|glicerina,Nu,Nu,4.4,Spray fixare cu minerale pentru un finisaj natural,makeup,toate,toate,,,,toate,toate,1
69,Mask Fit Red Cushion,TIRTIR,Fond de ten,70.0,toate,cald|neutru|rece,deschis|inchis,natural|luminos,zi,toate,,Nu,Nu,4.0,"Gama foarte extinsa de nuante, acoperire medie-mare",makeup,toate,toate,Coreea,,,toate,toate,1
70,Kill Cover Founwear Cushion XP,Clio,Fond de ten,70.0,mixt|gras|normal,neutru|cald,deschis|mediu,mat|satinat,zi,toate,,Nu,Nu,4.0,"Acoperire mare, long-wear, ideal ten gras/mixt",makeup,toate,toate,Coreea,,,toate,toate,1
71,Kill Cover Fixer Cushion,Clio,Fond de ten,70.0,gras|mixt,neutru,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,"Control sebum, finisaj mat",makeup,toate,toate,Coreea,,,toate,toate,1
72,Naked Cover Liquid Foundation,rom&nd,Fond de ten,70.0,toate,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,"Acoperire medie buildable, aspect natural",makeup,toate,toate,Coreea,,,toate,toate,1
73,Zero Cushion,rom&nd,Fond de ten,70.0,mixt|normal|gras,neutru,deschis|mediu,satinat,zi,toate,,Nu,Nu,4.0,"Lejer, aspect de piele",makeup,toate,toate,Coreea,,,toate,toate,1
74,Ink Lasting Cushion,Peripera,Fond de ten,70.0,gras|mixt,neutru|cald,deschis|mediu,mat|satinat,zi,toate,,Nu,Nu,4.0,Long-wear pt ten gras,makeup,toate,toate,Coreea,,,toate,toate,1
75,Double Lasting Foundation,Etude,Fond de ten,55.0,toate,neutru|cald,deschis|mediu,mat|satinat,zi,toate,,Nu,Nu,4.0,"24h, acoperire medie-mare",makeup,toate,toate,Coreea,,,toate,toate,1
76,Double Lasting Cushion,Etude,Fond de ten,55.0,mixt|gras,neutru,deschis|mediu,satinat,zi,toate,,Nu,Nu,4.0,Rezistent,makeup,toate,toate,Coreea,,,toate,toate,1
77,Perfect 9 Repair Foundation,Innisfree,Fond de ten,70.0,uscat|normal|mixt,cald|neutru,deschis|mediu,natural|luminos,zi,toate,,Nu,Nu,4.0,Ingrijire + machiaj,makeup,toate,toate,Coreea,,,toate,toate,1
78,No Sebum Cushion,Innisfree,Fond de ten,70.0,gras|mixt,neutru,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Control sebum,makeup,toate,toate,Coreea,,,toate,toate,1
79,Pro Tailor Be Glow Cushion,Espoir,Fond de ten,110.0,uscat|normal|mixt,neutru|cald,deschis|mediu,luminos,zi,toate,,Nu,Nu,4.0,"Aspect dewy, foarte popular",makeup,toate,toate,Coreea,,,toate,toate,1
80,Pro Tailor Foundation Be Velvet,Espoir,Fond de ten,110.0,mixt|gras|normal,neutru,deschis|mediu,mat|velvet,zi,toate,,Nu,Nu,4.0,Mat catifelat,makeup,toate,toate,Coreea,,,toate,toate,1
81,Second Skin Glow Foundation,Hince,Fond de ten,110.0,uscat|normal,neutru|cald,deschis|mediu,luminos,zi,toate,,Nu,Nu,4.0,Glow natural,makeup,toate,toate,Coreea,,,toate,toate,1
82,M Magic Cushion,Missha,Fond de ten,55.0,toate,cald|neutru,deschis|mediu,satinat,zi,toate,,Nu,Nu,4.0,Clasic accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
83,Neo Cushion (Glow/Matte),Laneige,Fond de ten,110.0,toate,neutru|cald,deschis|mediu,glow|mat,zi,toate,,Nu,Nu,4.0,Doua variante de finisaj,makeup,toate,toate,Coreea,,,toate,toate,1
84,Covericious Ultimate White Cushion,Banila Co,Fond de ten,110.0,mixt|normal,neutru|rece,deschis|mediu,satinat,zi,toate,,Nu,Nu,4.0,Efect luminos,makeup,toate,toate,Coreea,,,toate,toate,1
85,Air Fit Cushion,A'pieu,Fond de ten,55.0,normal|mixt,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,"Lejer, accesibil",makeup,toate,toate,Coreea,,,toate,toate,1
86,Face Design Cushion,Holika Holika,Fond de ten,55.0,toate,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
87,Defining Cover Cushion,Wakemake,Fond de ten,70.0,mixt|gras,neutru,deschis|mediu,satinat,zi,toate,,Nu,Nu,4.0,Acoperire buna,makeup,toate,toate,Coreea,,,toate,toate,1
88,I'm Multi Cushion,I'm Meme,Fond de ten,55.0,normal|mixt,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,"Compact, accesibil",makeup,toate,toate,Coreea,,,toate,toate,1
89,Perfecting Cushion EX,Sulwhasoo,Fond de ten,210.0,uscat|normal,cald|neutru,deschis|mediu,satinat|luminos,zi,toate,,Nu,Nu,4.0,"Premium, hidratant",makeup,toate,toate,Coreea,,,toate,toate,1
90,Cicapair Color Correcting Treatment,Dr.Jart+,Fond de ten,110.0,sensibil|toate,neutru,verde|bej,natural,zi,toate,,Nu,Nu,4.0,"Corectare roseata, ten sensibil",makeup,toate,toate,Coreea,,,toate,toate,1
91,HD Liquid Coverage Foundation,Catrice,Fond de ten,55.0,normal|mixt|gras,neutru|cald,deschis|inchis,natural|mat,zi,toate,,Nu,Nu,4.0,"Acoperire mare, accesibil",makeup,toate,toate,Europa (DE),,,toate,toate,1
92,True Skin Hydrating Foundation,Catrice,Fond de ten,55.0,uscat|normal,neutru|cald,deschis|mediu,natural|luminos,zi,toate,,Nu,Nu,4.0,"Hidratant, ten uscat",makeup,toate,toate,Europa (DE),,,toate,toate,1
93,Stay All Day 16h Foundation,Essence,Fond de ten,37.5,gras|mixt,neutru|cald,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Long-wear ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
94,Infaillible 24H Fresh Wear,L'Oreal Paris,Fond de ten,70.0,toate,cald|neutru|rece,deschis|inchis,natural|mat,zi,toate,,Nu,Nu,4.0,Gama larga de nuante,makeup,toate,toate,Europa,,,toate,toate,1
95,Fit Me (Matte/Dewy),Maybelline,Fond de ten,55.0,gras,neutru|cald,deschis|inchis,mat|dewy,zi,toate,,Nu,Nu,4.0,"Gama larga, accesibil",makeup,toate,toate,Europa/global,,,toate,toate,1
96,Healthy Mix Foundation,Bourjois,Fond de ten,70.0,uscat|normal,cald|neutru,deschis|mediu,luminos,zi,toate,,Nu,Nu,4.0,"Glow, ten uscat",makeup,toate,toate,Europa (FR),,,toate,toate,1
97,Unlimited Foundation,Kiko Milano,Fond de ten,70.0,mixt|normal,neutru|cald,deschis|inchis,mat|satinat,zi,toate,,Nu,Nu,4.0,Long-wear,makeup,toate,toate,Europa (IT),,,toate,toate,1
98,Dermablend 3D Correction,Vichy,Fond de ten,70.0,toate|sensibil,neutru|cald,deschis|inchis,mat,zi,toate,,Nu,Nu,4.0,"Acoperire mare, imperfectiuni",makeup,toate,toate,Europa (FR),,,toate,toate,1
99,Cover Perfection Tip Concealer,The Saem,Corector,35.0,toate,neutru|cald,deschis|inchis,natural|mat,zi,toate,,Nu,Nu,4.0,"Cult, acoperire mare, foarte ieftin",makeup,toate,toate,Coreea,,,toate,toate,1
100,Cover Perfection Ideal Concealer Duo,The Saem,Corector,35.0,toate,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Doua nuante intr-un produs,makeup,toate,toate,Coreea,,,toate,toate,1
101,Kill Cover Liquid Concealer,Clio,Corector,45.0,mixt|gras,neutru,deschis|mediu,mat|satinat,zi,toate,,Nu,Nu,4.0,Long-wear,makeup,toate,toate,Coreea,,,toate,toate,1
102,Kill Cover The New Founwear Concealer,Clio,Corector,45.0,toate,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Acoperire mare,makeup,toate,toate,Coreea,,,toate,toate,1
103,See-Through Fixing Concealer,rom&nd,Corector,45.0,normal|mixt,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,"Lejer, aspect natural",makeup,toate,toate,Coreea,,,toate,toate,1
104,Double Longwear Cover Concealer,Peripera,Corector,45.0,mixt|gras,neutru|cald,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Rezistent,makeup,toate,toate,Coreea,,,toate,toate,1
105,Surprise Stick Concealer,Etude,Corector,35.0,toate,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Stick practic,makeup,toate,toate,Coreea,,,toate,toate,1
106,Big Cover Skin Concealer,Etude,Corector,35.0,toate,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Acoperire mare,makeup,toate,toate,Coreea,,,toate,toate,1
107,Tone Up No Sebum Concealer,Innisfree,Corector,45.0,gras|mixt,neutru,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Control sebum,makeup,toate,toate,Coreea,,,toate,toate,1
108,Hide The Imperfection Concealer,Missha,Corector,35.0,toate,cald|neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Clasic accesibil,makeup,toate,toate,Coreea,,,toate,toate,1
109,Naked Face Concealer,Holika Holika,Corector,35.0,normal|mixt,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Ieftin,makeup,toate,toate,Coreea,,,toate,toate,1
110,Covericious Power Fit Concealer,Banila Co,Corector,72.5,mixt|normal,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Acoperire buna,makeup,toate,toate,Coreea,,,toate,toate,1
111,Mask Fit Concealer,TIRTIR,Corector,45.0,toate,neutru|cald,deschis|inchis,natural,zi,toate,,Nu,Nu,4.0,Asortat cu cushion-ul lor,makeup,toate,toate,Coreea,,,toate,toate,1
112,Soft Blurring Cover Concealer,Wakemake,Corector,45.0,toate,neutru,deschis|mediu,natural|blur,zi,toate,,Nu,Nu,4.0,Efect blur,makeup,toate,toate,Coreea,,,toate,toate,1
113,Magnet Fit Concealer,Lilybyred,Corector,45.0,mixt|normal,neutru,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Long-wear,makeup,toate,toate,Coreea,,,toate,toate,1
114,Liquid Camouflage High Coverage Concealer,Catrice,Corector,35.0,toate,neutru|cald,deschis|inchis,natural|mat,zi,toate,,Nu,Nu,4.0,"Cult ieftin, acoperire mare",makeup,toate,toate,Europa (DE),,,toate,toate,1
115,True Skin High Cover Concealer,Catrice,Corector,35.0,normal|mixt,neutru|cald,deschis|mediu,natural,zi,toate,,Nu,Nu,4.0,Aspect de piele,makeup,toate,toate,Europa (DE),,,toate,toate,1
116,Stay All Day 16h Concealer,Essence,Corector,25.0,mixt|gras,neutru,deschis|mediu,mat,zi,toate,,Nu,Nu,4.0,Long-wear ieftin,makeup,toate,toate,Europa (DE),,,toate,toate,1
117,Camouflage+ Healthy Glow Concealer,Essence,Corector,25.0,uscat|normal,cald|neutru,deschis|mediu,luminos,zi,toate,,Nu,Nu,4.0,"Hidratant, sub ochi",makeup,toate,toate,Europa (DE),,,toate,toate,1
118,Instant Age Rewind Eraser,Maybelline,Corector,35.0,uscat|normal|mixt,neutru|cald,deschis|inchis,natural|luminos,zi,toate,,Nu,Nu,4.0,"Sub ochi, aplicator burete",makeup,toate,toate,Europa/global,,,toate,toate,1
119,Fit Me Concealer,Maybelline,Corector,35.0,toate,neutru|cald,deschis|inchis,natural,zi,toate,,Nu,Nu,4.0,Asortat cu Fit Me,makeup,toate,toate,Europa/global,,,toate,toate,1
120,Infaillible More Than Concealer,L'Oreal Paris,Corector,45.0,toate,neutru|cald,deschis|inchis,natural|mat,zi,toate,,Nu,Nu,4.0,"Acoperire mare, long-wear",makeup,toate,toate,Europa,,,toate,toate,1
