profile_id,profil,product_id,brand,nume,categorie,nuanta,subton,suited_eye_color,suited_hair_color,is_relevant
5,ten mediu / ochi green / par black,221,CLIO,Kill Cover Airwear Mesh Powder Pact,Pudra,deschis|mediu,neutru|cald,toate,toate,Y
5,ten mediu / ochi green / par black,284,3CE,Plumping Lips / Glow Lip Color,Luciu de buze,toate,cald|rece|neutru,toate,toate,Y
5,ten mediu / ochi green / par black,42,Anastasia,Paleta Soft Glam,Fard de pleoape,toate,cald,blue|green,toate,Y
5,ten mediu / ochi green / par black,17,NARS,Corector Full Coverage,Corector,mediu,toate,toate,toate,Y
5,ten mediu / ochi green / par black,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
5,ten mediu / ochi green / par black,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
5,ten mediu / ochi green / par black,181,NYX,Powder Blush,Fard de obraz,toate,cald|rece,toate,toate,Y
5,ten mediu / ochi green / par black,233,Catrice,Setting Powder (loose),Pudra,translucid,neutru,toate,toate,Y
6,ten mediu / ochi brown / par black,50,Maybelline,Mascara Sky High,Mascara,toate,toate,toate,toate,Y
6,ten mediu / ochi brown / par black,281,Peripera,Ink Glasting Lip Gloss,Luciu de buze,toate,cald|rece|neutru,toate,toate,Y
6,ten mediu / ochi brown / par black,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
6,ten mediu / ochi brown / par black,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
6,ten mediu / ochi brown / par black,162,Etude,Lovely Cookie Blusher,Fard de obraz,toate,cald|rece,toate,toate,Y
6,ten mediu / ochi brown / par black,17,NARS,Corector Full Coverage,Corector,mediu,toate,toate,toate,Y
6,ten mediu / ochi brown / par black,286,Lilybyred,Glassy Layer Lip Gloss,Luciu de buze,toate,cald|rece,toate,toate,Y
6,ten mediu / ochi brown / par black,365,e.l.f.,Power Grip Primer,Primer,toate,neutru,toate,toate,Y
6,ten mediu / ochi brown / par black,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
6,ten mediu / ochi brown / par black,68,MAC,Spray Fixare Mineralize,Spray de fixare,toate,toate,toate,toate,Y
7,ten inchis / ochi brown / par black,50,Maybelline,Mascara Sky High,Mascara,toate,toate,toate,toate,Y
7,ten inchis / ochi brown / par black,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
7,ten inchis / ochi brown / par black,35,NARS,Fard de Obraz Cremos,Fard de obraz,toate,rece,toate,black|brunette,Y
7,ten inchis / ochi brown / par black,166,Wakemake,Soft Blurring Cheek,Fard de obraz,toate,neutru,toate,toate,Y
7,ten inchis / ochi brown / par black,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
7,ten inchis / ochi brown / par black,7,Rare Beauty,Fond de ten Liquid Touch,Fond de ten,inchis,toate,toate,toate,Y
7,ten inchis / ochi brown / par black,57,Maybelline,Primer Pore Eraser,Primer,toate,toate,toate,toate,Y
7,ten inchis / ochi brown / par black,212,Bourjois,Quad Eyeshadow,Fard de pleoape,toate,cald|rece,toate,toate,Y
7,ten inchis / ochi brown / par black,177,Maybelline,Cheek Heat (gel-cream),Fard de obraz,toate,cald|rece,toate,toate,Y
7,ten inchis / ochi brown / par black,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
8,ten inchis / ochi brown / par brunette,137,Wakemake,Soft Blurring Eyebrow Pencil,Creion de sprancene,blond|brunet,neutru,toate,toate,Y
8,ten inchis / ochi brown / par brunette,50,Maybelline,Mascara Sky High,Mascara,toate,toate,toate,toate,Y
8,ten inchis / ochi brown / par brunette,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
8,ten inchis / ochi brown / par brunette,187,Catrice,Cheek Lover Oil-Infused Blush,Fard de obraz,toate,cald|rece,toate,toate,Y
8,ten inchis / ochi brown / par brunette,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
8,ten inchis / ochi brown / par brunette,327,Maybelline,The Falsies Surreal Extensions,Mascara,negru,toate,toate,toate,Y
8,ten inchis / ochi brown / par brunette,255,Wakemake,Skin Fit Glow Highlighter,Iluminator,toate,neutru|cald,toate,toate,Y
8,ten inchis / ochi brown / par brunette,439,Catrice,Prime And Fine Fixing Spray,Spray de fixare,toate,neutru,toate,toate,Y
8,ten inchis / ochi brown / par brunette,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
8,ten inchis / ochi brown / par brunette,7,Rare Beauty,Fond de ten Liquid Touch,Fond de ten,inchis,toate,toate,toate,Y
9,ten deschis / ochi brown / par blonde,14,Charlotte Tilbury,Pudra Setting Soft Focus,Pudra,deschis,toate,toate,toate,Y
9,ten deschis / ochi brown / par blonde,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
9,ten deschis / ochi brown / par blonde,430,rom&nd,Long Lasting Setting Mist,Spray de fixare,toate,neutru,toate,toate,Y
9,ten deschis / ochi brown / par blonde,125,Rimmel,Match Perfection Concealer,Corector,deschis|mediu,neutru|cald,toate,toate,Y
9,ten deschis / ochi brown / par blonde,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
9,ten deschis / ochi brown / par blonde,83,Laneige,Neo Cushion (Glow/Matte),Fond de ten,deschis|mediu,neutru|cald,toate,toate,Y
9,ten deschis / ochi brown / par blonde,283,Etude,Glow Fixing Tint / Dear Darling Gloss,Luciu de buze,toate,cald|rece,toate,toate,Y
9,ten deschis / ochi brown / par blonde,258,Unleashia,Pop Pop Sparkle / Glow Topper,Iluminator,toate,neutru|cald|rece,toate,toate,Y
9,ten deschis / ochi brown / par blonde,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
9,ten deschis / ochi brown / par blonde,50,Maybelline,Mascara Sky High,Mascara,toate,toate,toate,toate,Y
10,ten mediu / ochi blue / par blonde,451,Pupa,Make Up Fixing Spray,Spray de fixare,toate,neutru,toate,toate,Y
10,ten mediu / ochi blue / par blonde,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
10,ten mediu / ochi blue / par blonde,42,Anastasia,Paleta Soft Glam,Fard de pleoape,toate,cald,blue|green,toate,Y
10,ten mediu / ochi blue / par blonde,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
10,ten mediu / ochi blue / par blonde,17,NARS,Corector Full Coverage,Corector,mediu,toate,toate,toate,Y
10,ten mediu / ochi blue / par blonde,138,Lilybyred,Skinny Mes Brow Pencil,Creion de sprancene,blond|brunet,neutru|cald,toate,toate,Y
10,ten mediu / ochi blue / par blonde,372,Peripera,Ink Velvet Tint,Ruj,toate,cald|rece,toate,toate,Y
10,ten mediu / ochi blue / par blonde,263,Essence,Pure Nude Highlighter,Iluminator,toate,cald|rece,toate,toate,Y
10,ten mediu / ochi blue / par blonde,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
10,ten mediu / ochi blue / par blonde,28,Rare Beauty,Ruj Petal Soft,Ruj,toate,neutru,toate,toate,Y
